locus_tag	ftype	length_bp	gene	EC_number	COG	product
IMKOHAHG_00691	CDS	216				hypothetical protein
IMKOHAHG_00692	CDS	378				hypothetical protein
IMKOHAHG_00693	CDS	198				hypothetical protein
IMKOHAHG_00694	CDS	333				hypothetical protein
IMKOHAHG_00695	CDS	756				hypothetical protein
IMKOHAHG_00696	CDS	1464				hypothetical protein
IMKOHAHG_00697	CDS	327				hypothetical protein
IMKOHAHG_00698	CDS	1212				hypothetical protein
IMKOHAHG_00699	CDS	840				hypothetical protein
IMKOHAHG_00700	CDS	4626	smc_1			Chromosome partition protein Smc
IMKOHAHG_00701	CDS	351				hypothetical protein
IMKOHAHG_00702	CDS	609				hypothetical protein
IMKOHAHG_00703	CDS	381				hypothetical protein
IMKOHAHG_00704	CDS	423				hypothetical protein
IMKOHAHG_00705	CDS	378				hypothetical protein
IMKOHAHG_00706	CDS	288				hypothetical protein
IMKOHAHG_00707	CDS	1893				hypothetical protein
IMKOHAHG_00708	CDS	1176				hypothetical protein
IMKOHAHG_00709	CDS	177				hypothetical protein
IMKOHAHG_00710	CDS	1902				hypothetical protein
IMKOHAHG_00711	CDS	519				hypothetical protein
IMKOHAHG_00712	CDS	480				hypothetical protein
IMKOHAHG_00713	CDS	276				hypothetical protein
IMKOHAHG_00714	CDS	447				hypothetical protein
IMKOHAHG_00715	CDS	246				hypothetical protein
IMKOHAHG_00716	CDS	456				hypothetical protein
IMKOHAHG_00717	CDS	174				hypothetical protein
IMKOHAHG_00718	CDS	168				hypothetical protein
IMKOHAHG_00719	CDS	204				hypothetical protein
IMKOHAHG_00720	CDS	375				hypothetical protein
IMKOHAHG_00721	CDS	192				hypothetical protein
IMKOHAHG_00722	CDS	366				hypothetical protein
IMKOHAHG_00723	CDS	141				hypothetical protein
IMKOHAHG_00724	CDS	399				hypothetical protein
IMKOHAHG_00725	CDS	1239	dnaC_1	3.6.4.12	COG0305	Replicative DNA helicase
IMKOHAHG_00726	CDS	834				hypothetical protein
IMKOHAHG_00727	CDS	96				hypothetical protein
IMKOHAHG_00728	CDS	600				hypothetical protein
IMKOHAHG_00729	CDS	717				hypothetical protein
IMKOHAHG_00730	CDS	639				hypothetical protein
IMKOHAHG_00731	CDS	234				hypothetical protein
IMKOHAHG_00732	CDS	498				hypothetical protein
IMKOHAHG_00733	CDS	234				hypothetical protein
IMKOHAHG_00734	CDS	96				hypothetical protein
IMKOHAHG_00735	CDS	288				hypothetical protein
IMKOHAHG_00736	CDS	714				hypothetical protein
IMKOHAHG_00737	CDS	162				hypothetical protein
IMKOHAHG_00738	CDS	183				hypothetical protein
IMKOHAHG_00739	CDS	324				hypothetical protein
IMKOHAHG_00740	CDS	405				hypothetical protein
IMKOHAHG_00741	CDS	513				hypothetical protein
IMKOHAHG_00742	CDS	861				hypothetical protein
IMKOHAHG_00743	CDS	1170	xerC_4			Tyrosine recombinase XerC
IMKOHAHG_00744	CDS	705	mecA		COG4862	Adapter protein MecA 1
IMKOHAHG_00745	CDS	402	spxA_2		COG1393	Regulatory protein Spx
IMKOHAHG_00746	CDS	741			COG1234	putative protein
IMKOHAHG_00747	CDS	489				hypothetical protein
IMKOHAHG_00748	CDS	1041				hypothetical protein
IMKOHAHG_00749	CDS	888				hypothetical protein
IMKOHAHG_00750	CDS	738			COG0217	putative transcriptional regulatory protein
IMKOHAHG_00751	CDS	819				hypothetical protein
IMKOHAHG_00752	CDS	1002	ccpA_1		COG1609	Catabolite control protein A
IMKOHAHG_00753	CDS	1098	pepQ	3.4.13.9	COG0006	Xaa-Pro dipeptidase
IMKOHAHG_00754	CDS	417				hypothetical protein
IMKOHAHG_00755	CDS	420				hypothetical protein
IMKOHAHG_00756	CDS	864	ykuT		COG0668	putative MscS family protein YkuT
IMKOHAHG_00757	CDS	1152		3.5.1.47	COG1473	N-acetyldiaminopimelate deacetylase
IMKOHAHG_00758	CDS	711	dapH	2.3.1.89	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
IMKOHAHG_00759	CDS	480	ykuL		COG0517	CBS domain-containing protein YkuL
IMKOHAHG_00760	CDS	519				hypothetical protein
IMKOHAHG_00761	CDS	600	rdgB	3.6.1.66	COG0127	dITP/XTP pyrophosphatase
IMKOHAHG_00762	CDS	804	murI	5.1.1.3	COG0796	Glutamate racemase
IMKOHAHG_00763	CDS	489				hypothetical protein
IMKOHAHG_00764	CDS	315	trxA_2		COG0526	Thioredoxin
IMKOHAHG_00765	CDS	2376	mutS2	3.1.-.-		Endonuclease MutS2
IMKOHAHG_00766	CDS	534				hypothetical protein
IMKOHAHG_00767	CDS	246	zapA		COG3027	Cell division protein ZapA
IMKOHAHG_00768	CDS	909	rnhC	3.1.26.4	COG1039	Ribonuclease HIII
IMKOHAHG_00769	CDS	312				hypothetical protein
IMKOHAHG_00770	CDS	438	yrrK	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
IMKOHAHG_00771	CDS	261				hypothetical protein
IMKOHAHG_00772	CDS	2655	alaS	6.1.1.7		Alanine--tRNA ligase
IMKOHAHG_00773	CDS	1353	cshB	3.6.4.13	COG0513	DEAD-box ATP-dependent RNA helicase CshB
IMKOHAHG_00774	CDS	957	nrnA	3.1.-.-	COG0618	putative bifunctional oligoribonuclease and PAP phosphatase NrnA
IMKOHAHG_00775	CDS	1116	dinB_1	2.7.7.7	COG0389	DNA polymerase IV
IMKOHAHG_00776	CDS	393				hypothetical protein
IMKOHAHG_00777	CDS	1143	tgt	2.4.2.29		Queuine tRNA-ribosyltransferase
IMKOHAHG_00778	CDS	1038	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
IMKOHAHG_00779	CDS	1020	ruvB_1	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
IMKOHAHG_00780	CDS	600	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
IMKOHAHG_00781	CDS	1968	mutL			DNA mismatch repair protein MutL
IMKOHAHG_00782	CDS	2613	mutS		COG0249	DNA mismatch repair protein MutS
IMKOHAHG_00783	CDS	1560	rny	3.1.-.-	COG1418	Ribonuclease Y
IMKOHAHG_00784	CDS	1098	recA		COG0468	Protein RecA
IMKOHAHG_00785	CDS	1248	cinA_1		COG1058	Putative competence-damage inducible protein
IMKOHAHG_00786	CDS	585	pgsA	2.7.8.5		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
IMKOHAHG_00787	CDS	936				hypothetical protein
IMKOHAHG_00788	CDS	1299				hypothetical protein
IMKOHAHG_00789	CDS	1251				hypothetical protein
IMKOHAHG_00790	CDS	1359	yclM	2.7.2.4	COG0527	Aspartokinase 3
IMKOHAHG_00791	CDS	1449	clsA_1	2.7.8.-	COG1502	Major cardiolipin synthase ClsA
IMKOHAHG_00792	CDS	849	fliY_1		COG0834	L-cystine-binding protein FliY
IMKOHAHG_00793	CDS	657	glnQ_2	3.6.3.-	COG1126	Glutamine transport ATP-binding protein GlnQ
IMKOHAHG_00794	CDS	648	yecS		COG0765	L-cystine transport system permease protein YecS
IMKOHAHG_00795	CDS	534				hypothetical protein
IMKOHAHG_00796	CDS	852	mreC		COG1792	Cell shape-determining protein MreC
IMKOHAHG_00797	CDS	1005	mreB		COG1077	Cell shape-determining protein MreB
IMKOHAHG_00798	CDS	645				hypothetical protein
IMKOHAHG_00799	CDS	1320	fpgS_1	6.3.2.17		Folylpolyglutamate synthase
IMKOHAHG_00800	CDS	2658	valS	6.1.1.9	COG0525	Valine--tRNA ligase
IMKOHAHG_00801	CDS	495	tpx	1.11.1.15	COG2077	Thiol peroxidase
IMKOHAHG_00802	CDS	1218	thiI	2.8.1.4	COG0301	putative tRNA sulfurtransferase
IMKOHAHG_00803	CDS	1149	iscS_2	2.8.1.7	COG1104	Cysteine desulfurase IscS
IMKOHAHG_00804	CDS	1713	ezrA		COG4477	Septation ring formation regulator EzrA
IMKOHAHG_00805	CDS	465	msrC	1.8.4.14	COG1956	Free methionine-R-sulfoxide reductase
IMKOHAHG_00806	CDS	609	rpsD		COG0522	30S ribosomal protein S4
IMKOHAHG_00807	CDS	600				hypothetical protein
IMKOHAHG_00808	CDS	465				hypothetical protein
IMKOHAHG_00809	CDS	1296			COG2256	putative AAA domain-containing protein
IMKOHAHG_00810	CDS	282				hypothetical protein
IMKOHAHG_00811	CDS	477				Putative universal stress protein
IMKOHAHG_00812	CDS	846				hypothetical protein
IMKOHAHG_00813	CDS	1479				hypothetical protein
IMKOHAHG_00814	CDS	114				hypothetical protein
IMKOHAHG_00815	CDS	1146	ddl	6.3.2.4	COG1181	D-alanine--D-alanine ligase
IMKOHAHG_00816	CDS	972				hypothetical protein
IMKOHAHG_00817	CDS	753				hypothetical protein
IMKOHAHG_00818	CDS	876	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
IMKOHAHG_00819	CDS	384				hypothetical protein
IMKOHAHG_00820	CDS	1803	bceB		COG0577	Bacitracin export permease protein BceB
IMKOHAHG_00821	CDS	576	bceA		COG1136	Bacitracin export ATP-binding protein BceA
IMKOHAHG_00822	CDS	870				hypothetical protein
IMKOHAHG_00823	CDS	921		1.1.1.-		L-2-hydroxyisocaproate dehydrogenase
IMKOHAHG_00824	CDS	915		1.1.1.-		L-2-hydroxyisocaproate dehydrogenase
IMKOHAHG_00825	CDS	828	metQ_1		COG1464	Methionine-binding lipoprotein MetQ
IMKOHAHG_00826	CDS	687	metP_1		COG2011	Methionine import system permease protein MetP
IMKOHAHG_00827	CDS	1044	metN2	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN 2
IMKOHAHG_00828	CDS	300	gcvH_1		COG0509	Glycine cleavage system H protein
IMKOHAHG_00829	CDS	1200	rodA	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase RodA
IMKOHAHG_00830	CDS	222				hypothetical protein
IMKOHAHG_00831	CDS	240			COG0759	Putative membrane protein insertion efficiency factor
IMKOHAHG_00832	CDS	990	mbl		COG1077	Cell shape-determining protein Mbl
IMKOHAHG_00833	CDS	1305	murA1_1	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase 1
IMKOHAHG_00834	CDS	231				hypothetical protein
IMKOHAHG_00835	CDS	414	atpC		COG0355	ATP synthase epsilon chain
IMKOHAHG_00836	CDS	1404	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
IMKOHAHG_00837	CDS	918	atpG		COG0224	ATP synthase gamma chain
IMKOHAHG_00838	CDS	1539	atpA	7.1.2.2	COG0056	ATP synthase subunit alpha
IMKOHAHG_00839	CDS	528	atpH		COG0712	ATP synthase subunit delta
IMKOHAHG_00840	CDS	519	atpF		COG0711	ATP synthase subunit b
IMKOHAHG_00841	CDS	213	atpE			ATP synthase subunit c
IMKOHAHG_00842	CDS	714	atpB			ATP synthase subunit a
IMKOHAHG_00843	CDS	1266	pyrP			Uracil permease
IMKOHAHG_00844	CDS	2562	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
IMKOHAHG_00845	CDS	1944	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
IMKOHAHG_00846	CDS	1122	recF		COG1195	DNA replication and repair protein RecF
IMKOHAHG_00847	CDS	225				hypothetical protein
IMKOHAHG_00848	CDS	1140	dnaN		COG0592	Beta sliding clamp
IMKOHAHG_00849	CDS	1317	dnaA		COG0593	Chromosomal replication initiator protein DnaA
IMKOHAHG_00850	CDS	135	rpmH			50S ribosomal protein L34
IMKOHAHG_00851	CDS	345	rnpA	3.1.26.5	COG0594	Ribonuclease P protein component
IMKOHAHG_00852	CDS	834	misCA		COG0706	Membrane protein insertase MisCA
IMKOHAHG_00853	CDS	801				hypothetical protein
IMKOHAHG_00854	CDS	1389	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
IMKOHAHG_00855	CDS	1929	mnmG			tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
IMKOHAHG_00856	CDS	984	iolS_1	1.1.1.-	COG0667	Aldo-keto reductase IolS
IMKOHAHG_00857	CDS	1257	gltT_1			Proton/sodium-glutamate symport protein
IMKOHAHG_00858	CDS	1479	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
IMKOHAHG_00859	CDS	1869	asnB_1	6.3.5.4	COG0367	Asparagine synthetase [glutamine-hydrolyzing] 1
IMKOHAHG_00860	CDS	603	spsB	3.4.21.89	COG0681	Signal peptidase IB
IMKOHAHG_00861	CDS	708		5.1.1.13	COG1794	Aspartate racemase
IMKOHAHG_00862	CDS	1323	pepE	3.4.22.-	COG3579	Aminopeptidase E
IMKOHAHG_00863	CDS	504				hypothetical protein
IMKOHAHG_00864	CDS	144				hypothetical protein
IMKOHAHG_00865	CDS	741				hypothetical protein
IMKOHAHG_00866	CDS	1578	pucR		COG2508	Purine catabolism regulatory protein
IMKOHAHG_00867	CDS	1455	clsA_2	2.7.8.-	COG1502	Major cardiolipin synthase ClsA
IMKOHAHG_00868	CDS	954	malR		COG1609	HTH-type transcriptional regulator MalR
IMKOHAHG_00869	CDS	1350				hypothetical protein
IMKOHAHG_00870	CDS	2256	malP	2.4.1.8		Maltose phosphorylase
IMKOHAHG_00871	CDS	666	yvdM_1	5.4.2.6	COG0637	Beta-phosphoglucomutase
IMKOHAHG_00872	CDS	1353		5.1.1.21	COG0160	Isoleucine 2-epimerase
IMKOHAHG_00873	CDS	519	queT		COG4708	Queuosine precursor transporter QueT
IMKOHAHG_00874	CDS	3534	addB	3.1.-.-	COG3857	ATP-dependent helicase/deoxyribonuclease subunit B
IMKOHAHG_00875	CDS	3711	addA	3.1.-.-	COG1074	ATP-dependent helicase/nuclease subunit A
IMKOHAHG_00876	CDS	1215		1.6.99.-	COG1252	NADH dehydrogenase-like protein
IMKOHAHG_00877	CDS	687				hypothetical protein
IMKOHAHG_00878	CDS	1761	msbA	7.5.2.6	COG1132	Lipid A export ATP-binding/permease protein MsbA
IMKOHAHG_00879	CDS	270				hypothetical protein
IMKOHAHG_00880	CDS	972	guaC	1.7.1.7	COG0516	GMP reductase
IMKOHAHG_00881	CDS	1311	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
IMKOHAHG_00882	CDS	1299	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
IMKOHAHG_00883	CDS	1362	steT_2		COG0531	Serine/threonine exchanger SteT
IMKOHAHG_00884	CDS	183				hypothetical protein
IMKOHAHG_00885	CDS	771	budC_1	1.1.1.304		Diacetyl reductase [(S)-acetoin forming]
IMKOHAHG_00886	CDS	1185	metB	2.5.1.48	COG0626	Cystathionine gamma-synthase
IMKOHAHG_00887	CDS	1299		2.5.1.-	COG2873	O-acetyl-L-homoserine sulfhydrylase
IMKOHAHG_00888	CDS	660	glnP_2		COG0765	Glutamine transport system permease protein GlnP
IMKOHAHG_00889	CDS	690	glnP_3		COG0765	putative glutamine ABC transporter permease protein GlnP
IMKOHAHG_00890	CDS	738	glnQ_3	3.6.3.-	COG1126	Glutamine transport ATP-binding protein GlnQ
IMKOHAHG_00891	CDS	852	fliY_2		COG0834	L-cystine-binding protein FliY
IMKOHAHG_00892	CDS	834	metQ_2		COG1464	D-methionine-binding lipoprotein MetQ
IMKOHAHG_00893	CDS	1023	metN	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
IMKOHAHG_00894	CDS	663	metP_2		COG2011	Methionine import system permease protein MetP
IMKOHAHG_00895	CDS	786	yafV	3.5.1.3		Omega-amidase YafV
IMKOHAHG_00896	CDS	1191	bacF	2.6.1.-	COG0436	Transaminase BacF
IMKOHAHG_00897	CDS	957				hypothetical protein
IMKOHAHG_00898	CDS	618				hypothetical protein
IMKOHAHG_00899	CDS	2424	smc_2			Chromosome partition protein Smc
IMKOHAHG_00900	CDS	543	pyrR			Bifunctional protein pyrR
IMKOHAHG_00901	CDS	930	pyrB	2.1.3.2	COG0540	Aspartate carbamoyltransferase
IMKOHAHG_00902	CDS	1266	pyrC	3.5.2.3		Dihydroorotase
IMKOHAHG_00903	CDS	1101	carA_3	6.3.5.5		Carbamoyl-phosphate synthase small chain
IMKOHAHG_00904	CDS	3180	carB_2	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
IMKOHAHG_00905	CDS	921	pyrDB	1.3.1.14	COG0167	Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit
IMKOHAHG_00906	CDS	726	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
IMKOHAHG_00907	CDS	609	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
IMKOHAHG_00908	CDS	402				hypothetical protein
IMKOHAHG_00909	CDS	1542	gtfA	2.4.1.-	COG0438	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit
IMKOHAHG_00910	CDS	1518	tagE	2.4.1.52	COG0438	Poly(glycerol-phosphate) alpha-glucosyltransferase
IMKOHAHG_00911	CDS	1410	rlmCD	2.1.1.189	COG2265	23S rRNA (uracil-C(5))-methyltransferase RlmCD
IMKOHAHG_00912	CDS	390	ytcD		COG1733	putative HTH-type transcriptional regulator YtcD
IMKOHAHG_00913	CDS	1173	ydhP		COG2814	Inner membrane transport protein YdhP
IMKOHAHG_00914	CDS	852	yvgN_2	1.1.1.-	COG0656	Glyoxal reductase
IMKOHAHG_00915	CDS	666	tenA	3.5.99.2	COG0819	Aminopyrimidine aminohydrolase
IMKOHAHG_00916	CDS	798	thiM	2.7.1.50	COG2145	Hydroxyethylthiazole kinase
IMKOHAHG_00917	CDS	825	thiD_1	2.7.1.49	COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
IMKOHAHG_00918	CDS	645	thiE	2.5.1.3		Thiamine-phosphate synthase
IMKOHAHG_00919	CDS	1290			COG1132	putative ABC transporter ATP-binding protein
IMKOHAHG_00920	CDS	1737			COG1132	putative ABC transporter ATP-binding protein
IMKOHAHG_00921	CDS	654	tetR			Tetracycline repressor protein class A from transposon 1721
IMKOHAHG_00922	CDS	786			COG0834	putative amino-acid ABC transporter-binding protein
IMKOHAHG_00923	CDS	441				hypothetical protein
IMKOHAHG_00924	CDS	414	ohrB		COG1764	Organic hydroperoxide resistance protein OhrB
IMKOHAHG_00925	CDS	207				hypothetical protein
IMKOHAHG_00926	CDS	1302	serS	6.1.1.11		Serine--tRNA ligase
IMKOHAHG_00927	CDS	963	carE	1.3.1.108	COG2025	Caffeyl-CoA reductase-Etf complex subunit CarE
IMKOHAHG_00928	CDS	777	carD	1.3.1.108	COG2086	Caffeyl-CoA reductase-Etf complex subunit CarD
IMKOHAHG_00929	CDS	1122	mmgC	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
IMKOHAHG_00930	CDS	2256	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
IMKOHAHG_00931	CDS	894	metF	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
IMKOHAHG_00932	CDS	2097		3.2.1.-	COG1388	Autolysin
IMKOHAHG_00933	CDS	189				hypothetical protein
IMKOHAHG_00934	CDS	627				hypothetical protein
IMKOHAHG_00935	CDS	1746	ypdA	2.7.13.3	COG3275	Sensor histidine kinase YpdA
IMKOHAHG_00936	CDS	720	lytR		COG3279	Sensory transduction protein LytR
IMKOHAHG_00937	CDS	453	lrgA		COG1380	Antiholin-like protein LrgA
IMKOHAHG_00938	CDS	729	lrgB		COG1346	Antiholin-like protein LrgB
IMKOHAHG_00939	CDS	1323	amt			Ammonia channel
IMKOHAHG_00940	CDS	1533	mltF_2	4.2.2.-		Membrane-bound lytic murein transglycosylase F
IMKOHAHG_00941	CDS	1482	mltF_3	4.2.2.-		Membrane-bound lytic murein transglycosylase F
IMKOHAHG_00942	CDS	555	maa_3	2.3.1.79	COG0110	Maltose O-acetyltransferase
IMKOHAHG_00943	CDS	1602	betL		COG1292	Glycine betaine transporter BetL
IMKOHAHG_00944	CDS	417				hypothetical protein
IMKOHAHG_00945	CDS	375				hypothetical protein
IMKOHAHG_00946	CDS	246				hypothetical protein
IMKOHAHG_00947	CDS	1671	asD	2.6.1.1	COG0436	Bifunctional aspartate aminotransferase and L-aspartate beta-decarboxylase
IMKOHAHG_00948	CDS	1647	aspT			Aspartate/alanine antiporter
IMKOHAHG_00949	CDS	723		5.1.1.13	COG1794	Aspartate racemase
IMKOHAHG_00950	CDS	1797	aspS_2	6.1.1.12		Aspartate--tRNA ligase
IMKOHAHG_00951	CDS	1245	gltT_2			Proton/sodium-glutamate symport protein
IMKOHAHG_00952	CDS	1449	lacS_1		COG2190	Lactose permease
IMKOHAHG_00953	CDS	1125	nagK	2.7.1.59		N-acetyl-D-glucosamine kinase
IMKOHAHG_00954	CDS	777	bacC	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
IMKOHAHG_00955	CDS	1542	xylB_5	2.7.1.17	COG1070	Xylulose kinase
IMKOHAHG_00956	CDS	495	ypjQ_1		COG1267	putative protein YpjQ
IMKOHAHG_00957	CDS	258				hypothetical protein
IMKOHAHG_00958	CDS	360				hypothetical protein
IMKOHAHG_00959	tRNA	76				tRNA-Thr(agt)
IMKOHAHG_00960	CDS	330				hypothetical protein
IMKOHAHG_00961	CDS	813				hypothetical protein
IMKOHAHG_00962	CDS	807	hisK	3.1.3.15	COG1387	Histidinol-phosphatase
IMKOHAHG_00963	CDS	1161	hisZ		COG3705	ATP phosphoribosyltransferase regulatory subunit
IMKOHAHG_00964	CDS	654	hisG	2.4.2.17	COG0040	ATP phosphoribosyltransferase
IMKOHAHG_00965	CDS	1281	hisD	1.1.1.23	COG0141	Histidinol dehydrogenase
IMKOHAHG_00966	CDS	585	hisB	4.2.1.19		Imidazoleglycerol-phosphate dehydratase
IMKOHAHG_00967	CDS	627	hisH	4.3.2.10	COG0118	Imidazole glycerol phosphate synthase subunit HisH
IMKOHAHG_00968	CDS	714	hisA	5.3.1.16	COG0106	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
IMKOHAHG_00969	CDS	759	hisF	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
IMKOHAHG_00970	CDS	336	hisI	3.5.4.19	COG0139	Phosphoribosyl-AMP cyclohydrolase
IMKOHAHG_00971	CDS	327	hisE	3.6.1.31	COG0140	Phosphoribosyl-ATP pyrophosphatase
IMKOHAHG_00972	CDS	1080	hisC	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
IMKOHAHG_00973	CDS	885	degV_2		COG1307	Protein DegV
IMKOHAHG_00974	CDS	327				hypothetical protein
IMKOHAHG_00975	CDS	483				hypothetical protein
IMKOHAHG_00976	CDS	798			COG0834	putative amino-acid ABC transporter-binding protein
IMKOHAHG_00977	CDS	696	tcyB		COG0765	L-cystine transport system permease protein TcyB
IMKOHAHG_00978	CDS	735	artM_1		COG1126	Arginine transport ATP-binding protein ArtM
IMKOHAHG_00979	CDS	228				hypothetical protein
IMKOHAHG_00980	CDS	510				hypothetical protein
IMKOHAHG_00981	CDS	1455	trpE	4.1.3.27	COG0147	Anthranilate synthase component 1
IMKOHAHG_00982	CDS	609	pabA	2.6.1.85	COG0512	Aminodeoxychorismate/anthranilate synthase component 2
IMKOHAHG_00983	CDS	1017	trpD	2.4.2.18	COG0547	Anthranilate phosphoribosyltransferase
IMKOHAHG_00984	CDS	798	trpC	4.1.1.48	COG0134	Indole-3-glycerol phosphate synthase
IMKOHAHG_00985	CDS	597	trpF	5.3.1.24	COG0135	N-(5'-phosphoribosyl)anthranilate isomerase
IMKOHAHG_00986	CDS	1209	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
IMKOHAHG_00987	CDS	777	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
IMKOHAHG_00988	CDS	519	tag_1	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
IMKOHAHG_00989	CDS	2028	yihQ	3.2.1.199	COG1501	Sulfoquinovosidase
IMKOHAHG_00990	CDS	1368	gabD1_1	1.2.1.79	COG1012	Succinate-semialdehyde dehydrogenase [NADP(+)] 1
IMKOHAHG_00991	CDS	1332	yihP		COG2211	Putative 2,3-dihydroxypropane-1-sulfonate exporter
IMKOHAHG_00992	CDS	666	tal_2	2.2.1.2	COG0176	Transaldolase
IMKOHAHG_00993	CDS	684				hypothetical protein
IMKOHAHG_00994	CDS	1329				hypothetical protein
IMKOHAHG_00995	CDS	789	iphP	3.1.3.48		Tyrosine-protein phosphatase
IMKOHAHG_00996	CDS	963				hypothetical protein
IMKOHAHG_00997	CDS	1029	ypuA		COG4086	putative protein YpuA
IMKOHAHG_00998	CDS	1017				Zinc-type alcohol dehydrogenase-like protein
IMKOHAHG_00999	CDS	681	fnr_1		COG0664	Fumarate and nitrate reduction regulatory protein
IMKOHAHG_01000	CDS	1167	dhaT	1.1.1.202	COG1454	1,3-propanediol dehydrogenase
IMKOHAHG_01001	CDS	1281	gltT_3			Proton/sodium-glutamate symport protein
IMKOHAHG_01002	CDS	1809	pepF1	3.4.24.-		Oligoendopeptidase F, plasmid
IMKOHAHG_01003	CDS	378				hypothetical protein
IMKOHAHG_01004	CDS	447	lrpC		COG1522	HTH-type transcriptional regulator LrpC
IMKOHAHG_01005	CDS	750		2.4.2.-	COG2071	Putative glutamine amidotransferase
IMKOHAHG_01006	CDS	237				hypothetical protein
IMKOHAHG_01007	CDS	492				hypothetical protein
IMKOHAHG_01008	CDS	525				hypothetical protein
IMKOHAHG_01009	CDS	648	yhfK	4.-.-.-	COG0702	putative sugar epimerase YhfK
IMKOHAHG_01010	CDS	483				Putative universal stress protein
IMKOHAHG_01011	CDS	354				hypothetical protein
IMKOHAHG_01012	CDS	1236	entS			Enterobactin exporter EntS
IMKOHAHG_01013	CDS	432				hypothetical protein
IMKOHAHG_01014	CDS	1965				hypothetical protein
IMKOHAHG_01015	CDS	945	ykoT	2.4.-.-		putative glycosyltransferase YkoT
IMKOHAHG_01016	CDS	666				hypothetical protein
IMKOHAHG_01017	CDS	654	dedA_2		COG0586	Protein DedA
IMKOHAHG_01018	CDS	1356	sasA_3	2.7.-.-		Adaptive-response sensory-kinase SasA
IMKOHAHG_01019	CDS	699	mprA			Response regulator MprA
IMKOHAHG_01020	CDS	825				hypothetical protein
IMKOHAHG_01021	CDS	1377				hypothetical protein
IMKOHAHG_01022	CDS	588				hypothetical protein
IMKOHAHG_01023	CDS	441				hypothetical protein
IMKOHAHG_01024	CDS	1461	lmrA_1	7.6.2.2	COG1132	Multidrug resistance ABC transporter ATP-binding and permease protein
IMKOHAHG_01025	CDS	429	ywnA		COG1959	Putative HTH-type transcriptional regulator YwnA
IMKOHAHG_01026	CDS	855	qorB	1.6.5.2	COG0702	Quinone oxidoreductase 2
IMKOHAHG_01027	CDS	1395	emrB_2			Multidrug export protein EmrB
IMKOHAHG_01028	CDS	609				putative HTH-type transcriptional regulator
IMKOHAHG_01029	CDS	567				hypothetical protein
IMKOHAHG_01030	CDS	1581	stp_1			Multidrug resistance protein Stp
IMKOHAHG_01031	CDS	489				hypothetical protein
IMKOHAHG_01032	CDS	393	adhR		COG0789	HTH-type transcriptional regulator AdhR
IMKOHAHG_01033	CDS	594				Putative bifunctional phosphatase/peptidyl-prolyl cis-trans isomerase
IMKOHAHG_01034	CDS	1758	recQ_2	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
IMKOHAHG_01035	CDS	399				hypothetical protein
IMKOHAHG_01036	CDS	369	fra		COG5646	Intracellular iron chaperone frataxin
IMKOHAHG_01037	CDS	441				hypothetical protein
IMKOHAHG_01038	CDS	861				hypothetical protein
IMKOHAHG_01039	CDS	1107	xylB_6	1.1.1.90		Aryl-alcohol dehydrogenase
